player_name,player_key,datasets,draft_year_min,draft_year_max,source_row_count,match_method,nba_person_id,nba_full_name,nba_is_active,headshot_url,local_file,download_status,http_status,content_type,espn_match_method,espn_id,espn_full_name,espn_league,espn_headshot_url,espn_local_file,espn_download_status,espn_http_status,espn_content_type
Juhann Begarin,juhann begarin,historical,2021,2021,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Rokas Jokubaitis,rokas jokubaitis,historical,2021,2021,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Gabriele Procida,gabriele procida,historical,2022,2022,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Ismael Kamagate,ismael kamagate,historical,2022,2022,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
A.J. Dybantsa,a j dybantsa,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
AJ Dybantsa,aj dybantsa,prospective_2026,2026,2026,3,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Aday Mara,aday mara,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Alex Karaban,alex karaban,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Allen Graves,allen graves,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Amari Allen,amari allen,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Andrej Stojakovic,andrej stojakovic,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Baba Miller,baba miller,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Bennett Stirtz,bennett stirtz,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Billy Richmond III,billy richmond,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Braden Smith,braden smith,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Brayden Burries,brayden burries,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Bruce Thornton,bruce thornton,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Caleb Wilson,caleb wilson,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Cam Carr,cam carr,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Cameron Boozer,cameron boozer,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Cameron Carr,cameron carr,prospective_2026,2026,2026,3,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Chris Cenac,chris cenac,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Christian Anderson,christian anderson,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Dailyn Swain,dailyn swain,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Darius Acuff,darius acuff,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Darryn Peterson,darryn peterson,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Dillon Mitchell,dillon mitchell,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Ebuka Okorie,ebuka okorie,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Emanuel Sharp,emanuel sharp,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Felix Okpara,felix okpara,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Flory Bidunga,flory bidunga,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Francesco Ferrari,francesco ferrari,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Hannes Steinbach,hannes steinbach,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Henri Veesaar,henri veesaar,prospective_2026,2026,2026,3,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Isaiah Evans,isaiah evans,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Izaiyah Nelson,izaiyah nelson,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Ja'Kobi Gillespie,ja kobi gillespie,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Jack Kayil,jack kayil,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Jaden Bradley,jaden bradley,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Jakobi Gillespie,jakobi gillespie,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Jaron Pierre,jaron pierre,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Jayden Quaintance,jayden quaintance,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Jeremy Fears Jr.,jeremy fears,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Joshua Jefferson,joshua jefferson,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Karim Lopez,karim lopez,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Keaton Wagler,keaton wagler,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Keyshawn Hall,keyshawn hall,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Kingston Flemings,kingston flemings,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Koa Peat,koa peat,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Kylan Boswell,kylan boswell,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Labaron Philon,labaron philon,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Luigi Suigo,luigi suigo,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Malachi Moreno,malachi moreno,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Mark Mitchell,mark mitchell,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Matt Able,matt able,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Meleek Thomas,meleek thomas,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Mikel Brown,mikel brown,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Milan Momcilovic,milan momcilovic,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Milos Uzan,milos uzan,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Morez Johnson,morez johnson,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Nate Ament,nate ament,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Nick Martinelli,nick martinelli,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Otega Oweh,otega oweh,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Pavle Backo,pavle backo,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Rafael Castro,rafael castro,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Richie Saunders,richie saunders,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Rueben Chinyelu,rueben chinyelu,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Ryan Conwell,ryan conwell,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Sergio De Larrea,sergio de larrea,prospective_2026,2026,2026,3,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Tarris Reed,tarris reed,prospective_2026,2026,2026,3,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Tobe Awaka,tobe awaka,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Tobi Lawal,tobi lawal,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Tounde Yessoufou,tounde yessoufou,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Tre White,tre white,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Trevon Brazile,trevon brazile,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Trey Kaufman-Renn,trey kaufman renn,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Tyler Tanner,tyler tanner,prospective_2026,2026,2026,1,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Ugonna Onyenso,ugonna onyenso,prospective_2026,2026,2026,2,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Yaxel Lendeborg,yaxel lendeborg,prospective_2026,2026,2026,4,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
Zuby Ejiofor,zuby ejiofor,prospective_2026,2026,2026,3,unmatched,,,,,,unmatched,,,unmatched,,,,,,unmatched,,
